trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.65704681981505675}",25,0,-60.28412799952436,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",1
43,False,"{'a': 0.3, 'e': 0.65050909472331653}",20,0,-27.878305322996553,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.3, 'e': 0.64403642108314141}",25,0,-22.687873298008412,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.3, 'e': 0.63762815162177333}",30,0,-54.998616717716466,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.3, 'e': 0.63128364550692595}",20,1,-35.57371332323996,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.62500226828270078}",20,0,-39.55697257087094,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.3, 'e': 0.61878339180614084}",20,0,-25.028567615666574,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.3, 'e': 0.61262639418441611}",20,0,-146.4179027547565,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
50,False,"{'a': 0.3, 'e': 0.60653065971263342}",25,0,-108.7799313807637,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.3, 'e': 0.6004955788122659}",20,9,-20.379530576255345,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.3, 'e': 0.59452054797019438}",20,0,-110.30470035236881,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.3, 'e': 0.58860496967835518}",20,1,-84.02025122289996,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
54,False,"{'a': 0.3, 'e': 0.58274825237398964}",20,9,-34.119038461230396,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.3, 'e': 0.57694981038048665}",25,8,-18.752886343070582,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.57120906384881487}",25,10,-56.76006596158443,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
