trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.81058424597018708}",25,0,-101.91032919085308,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.7, 'e': 0.80654144017732687}",20,0,-106.23222864347282,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.7, 'e': 0.80251879796247849}",25,0,-72.96643724796137,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.79851621875937706}",30,0,-179.70490461175143,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
46,False,"{'a': 0.7, 'e': 0.79453360250333405}",20,0,-52.81498831463464,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.7, 'e': 0.79057084962873558}",30,0,-113.2107096802204,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.7, 'e': 0.78662786106655347}",20,5,-51.00060501455429,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.78270453824186814}",20,0,-58.3118089297281,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.77880078307140488}",25,0,-16.224648354536388,"{0: 18, 1: 6, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.77491649796108097}",30,0,-239.1832676963406,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
52,False,"{'a': 0.7, 'e': 0.77105158580356625}",20,0,-35.994667691916035,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.76720594997585567}",20,0,-186.9472444428301,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
54,False,"{'a': 0.7, 'e': 0.76337949433685315}",20,0,-36.06090717338209,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.75957212322496848}",20,0,-142.71693943396036,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
56,False,"{'a': 0.7, 'e': 0.75578374145572547}",20,0,-68.92327054629445,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
57,False,"{'a': 0.7, 'e': 0.75201425431938262}",20,0,-28.397907922115994,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.74826356757856527}",20,3,-55.63281128799685,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.74453158746590942}",20,0,2.812330041576299,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.7, 'e': 0.74081822068171788}",20,0,1.5559751604222263,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.73712337439162778}",20,0,-82.48528037884434,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.73344695622428924}",25,0,-197.91899740603287,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
63,False,"{'a': 0.7, 'e': 0.72978887426905681}",20,0,-150.32240049263842,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
64,False,"{'a': 0.7, 'e': 0.72614903707369094}",35,10,-1.6927602643681714,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.72252735364207221}",20,0,-48.12032320694921,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.7, 'e': 0.71892373343192617}",25,11,-2.012264662884193,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.71533808635255991}",30,0,-34.411183354945464,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
68,False,"{'a': 0.7, 'e': 0.71177032276260965}",25,0,-110.9455613967532,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.7, 'e': 0.70822035346779999}",20,14,-1.0723087132529352,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.70468808971871344}",20,0,-90.41697577914123,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.7, 'e': 0.70117344320857244}",25,14,-5.135259731201883,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.69767632607103103}",25,0,-80.17021660947879,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
73,False,"{'a': 0.7, 'e': 0.69419665087797888}",20,10,-48.77335723900375,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.7, 'e': 0.69073433063735468}",25,15,-84.28094982220239,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
75,False,"{'a': 0.7, 'e': 0.68728927879097224}",35,0,-20.97909714136187,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.68386140921235583}",20,0,-19.179295834398175,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.7, 'e': 0.68045063620458768}",20,0,-73.22132686367534,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.7, 'e': 0.67705687449816465}",25,3,-46.514488587249176,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.7, 'e': 0.67368003924886766}",35,0,-207.0778309068614,"{0: 22, 1: 3, 2: 4, 3: 3, 4: 3}",0
80,False,"{'a': 0.7, 'e': 0.67032004603563933}",25,0,-72.82944386581637,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
81,False,"{'a': 0.7, 'e': 0.66697681085847438}",20,7,-65.60209479361971,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
82,False,"{'a': 0.7, 'e': 0.6636502501363194}",20,0,-40.553275439361364,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.66034028070498285}",30,0,-113.69683684110908,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
84,False,"{'a': 0.7, 'e': 0.65704681981505675}",30,0,-136.9050002933311,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
85,False,"{'a': 0.7, 'e': 0.65376978512984729}",20,0,-65.26456734835949,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.7, 'e': 0.65050909472331653}",25,0,-23.112295223523365,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.64726466707803465}",25,3,-51.44947167124011,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.64403642108314141}",20,9,-34.443027072585515,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.64082427603231873}",25,0,-61.501833927920046,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.7, 'e': 0.63762815162177333}",25,0,-114.27115605055901,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.7, 'e': 0.63444796794822822}",25,0,-66.50027017813018,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
92,False,"{'a': 0.7, 'e': 0.63128364550692595}",30,0,-82.97895840215438,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
93,False,"{'a': 0.7, 'e': 0.62813510518964077}",35,13,-16.136131962749648,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.62500226828270078}",25,8,10.270989089282985,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.62188505646502001}",30,0,-41.73614401710519,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
96,False,"{'a': 0.7, 'e': 0.61878339180614084}",30,5,-9.855320657782126,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.61569719676428514}",25,9,-78.81863752233556,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
98,False,"{'a': 0.7, 'e': 0.61262639418441611}",30,11,0.18364968418330707,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.60957090729630925}",25,9,-77.5788939766501,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
100,False,"{'a': 0.7, 'e': 0.60653065971263342}",25,0,-93.2940444024857,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.7, 'e': 0.60350557542704053}",20,0,-58.17731371624251,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.6004955788122659}",25,0,-38.51804643778506,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.7, 'e': 0.59750059461823746}",30,0,-129.75163486760476,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
104,False,"{'a': 0.7, 'e': 0.59452054797019438}",25,13,-3.5837543819553925,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.59155536436681511}",25,0,-115.73447763704378,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
106,False,"{'a': 0.7, 'e': 0.58860496967835518}",20,0,-57.1906927618559,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.7, 'e': 0.58566929014479374}",25,0,-14.662272096548836,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.7, 'e': 0.58274825237398964}",20,6,-11.573517935936488,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.57984178333984637}",25,1,-81.93154179614982,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 1}",1
110,False,"{'a': 0.7, 'e': 0.57694981038048665}",20,0,-62.96237349866339,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.7, 'e': 0.57407226119643595}",25,18,4.624456368233824,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.57120906384881487}",25,0,-116.94183276783966,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
113,False,"{'a': 0.7, 'e': 0.56836014675754043}",20,12,-8.78742616200698,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.56552543869953709}",20,0,-10.353354386283371,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.56270486880695569}",20,7,21.349075914634607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.55989836656540204}",25,13,-71.15766338480344,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
117,False,"{'a': 0.7, 'e': 0.55710586181217392}",30,16,-8.510356908897066,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.5543272847345071}",20,11,9.10870297666833,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.55156256586782981}",20,7,-43.917891096852294,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.5488116360940265}",25,9,-35.32114579439434,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.5460744266397094}",20,0,-78.27979923018957,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
122,False,"{'a': 0.7, 'e': 0.54335086907449981}",20,0,-36.56617290569661,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
123,False,"{'a': 0.7, 'e': 0.54064089530931658}",20,0,-44.72100374822455,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.7, 'e': 0.53794443759467447}",25,16,-12.96322769337873,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.53526142851899028}",30,0,-76.4836056151705,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
126,False,"{'a': 0.7, 'e': 0.53259180100689718}",30,15,7.300535582526883,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.52993548831756854}",25,10,6.7577618849614485,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.52729242404304855}",25,12,-36.47478779698618,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.7, 'e': 0.52466254210659291}",20,0,-42.15642844276718,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
130,False,"{'a': 0.7, 'e': 0.52204577676101604}",35,20,-92.49282405368955,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
131,False,"{'a': 0.7, 'e': 0.51944206258704817}",35,12,-47.087934020407715,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
132,False,"{'a': 0.7, 'e': 0.51685133449169918}",20,0,-42.0147048179353,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
133,False,"{'a': 0.7, 'e': 0.51427352770663193}",25,0,-95.42251538111587,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
134,False,"{'a': 0.7, 'e': 0.51170857778654244}",20,15,9.265786716671359,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.50915642060754918}",25,0,-84.9471628316378,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
136,False,"{'a': 0.7, 'e': 0.50661699236558955}",20,0,-67.22548857932803,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
137,False,"{'a': 0.7, 'e': 0.50409022957482552}",30,0,-31.40504923478312,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.7, 'e': 0.50157606906605545}",20,0,-93.54170627393114,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
139,False,"{'a': 0.7, 'e': 0.49907444798513595}",25,0,-43.48320105129046,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.7, 'e': 0.49658530379140947}",30,20,-2.0012421910171776,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.49410857425614169}",20,13,-23.683641945746768,"{0: 4, 1: 2, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.4916441974609651}",25,3,-19.553136215354193,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.7, 'e': 0.48919211179633154}",25,18,16.132050028187457,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.48675225595997168}",20,6,-2.5402038122650783,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.48432456895536247}",20,5,1.3816062223390921,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.48190899009020244}",20,0,-81.86400238492564,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
147,False,"{'a': 0.7, 'e': 0.47950545897489411}",25,13,-62.613036221697364,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
148,False,"{'a': 0.7, 'e': 0.47711391552103438}",20,4,-26.813943071664127,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.7, 'e': 0.4747342999399124}",30,4,0.6415730911189463,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.47236655274101469}",20,0,-48.41190603772039,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.7, 'e': 0.47001061473053796}",30,12,-42.25751747546756,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.46766642700990924}",25,15,2.2519194687521753,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.46533393097431341}",20,0,-76.66738654392,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
154,False,"{'a': 0.7, 'e': 0.46301306831122807}",30,16,11.61525648094658,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.46070378099896581}",30,13,-43.98735028243783,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
156,False,"{'a': 0.7, 'e': 0.45840601130522352}",25,8,-38.41371707628304,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.45611970178563921}",20,2,-114.1843967670323,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
158,False,"{'a': 0.7, 'e': 0.45384479528235583}",20,6,1.2698357667855957,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.45158123492259222}",25,9,-13.63949142361099,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.44932896411722156}",20,12,13.53344277547518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.44708792655935642}",20,0,-10.713203964738288,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.7, 'e': 0.44485806622294111}",20,0,-23.833865782452484,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.7, 'e': 0.44263932736135109}",25,6,-59.388014715592846,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
164,False,"{'a': 0.7, 'e': 0.44043165450599925}",25,0,-93.95487349440323,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
165,False,"{'a': 0.7, 'e': 0.43823499246494918}",20,7,-30.061545340178004,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.7, 'e': 0.43604928632153556}",25,10,15.545336604704596,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.4338744814329909}",25,4,-112.92835460340594,"{0: 11, 1: 2, 2: 4, 3: 4, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.43171052342907973}",30,18,-14.141750318301261,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.42955735821073915}",20,11,18.722734732327808,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.42741493194872671}",30,0,-62.01356408442663,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
171,False,"{'a': 0.7, 'e': 0.42528319108227414}",20,0,-20.354730511348972,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
172,False,"{'a': 0.7, 'e': 0.42316208231774882}",20,13,-1.5772755907607987,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
